IME NOGOMETASA;DRZAVA;POZICIJA;VIŠINA;TRAJANJE KARIERE;ŠTEVILO KLUBOV V KARIERI;LETNICE DELOVANJA V ARSENALU;TRAJANJE KARIERE V ARSENALU;NASTOPI ZA ARSENAL;NASTOPI ZA DRUGE KLUBE;ZADETKI ZA ARSENAL;ZADETKI ZA DRUGE KLUBE;REPREZENTANCNI NASTOPI;REPREZENTANCNI ZADETKI
Dennis Bergkamp;Netherlands;FW;185;21;3;1995–2006;12;423;237;120;114;79;37
David Platt;England;MF;178;17;7;1995–1998;4;108;360;15;138;62;27
Patrick Vieira;France;MF;193;18;6;1996–2005;10;407;177;33;16;107;6
Gilles Grimandi;France;CB/MF;180;16;4;1997–2002;6;169;67;6;3;0;0
Marc Overmars;Netherlands;LW;179;20;5;1997–2000;4;143;299;41;53;86;17
Emmanuel Petit;France;MF;185;17;4;1997–2000;4;118;300;11;7;63;6
Freddie Ljungberg;Sweden;RW;175;19;7;1998–2007;10;328;171;72;16;75;14
Ashley Cole;England;LB;176;17;2;1999–2006;8;228;208;9;7;101;0
Thierry Henry;France;FW;188;21;5;1999–2007, 2012;10;377;272;228;92;123;51
Nwankwo Kanu;Nigeria;FW;196;21;6;1999–2004;6;197;287;44;68;93;16
Oleg Luzhny;Ukraine;RB;182;21;6;1999–2003;5;110;385;0;14;52;0
Sylvain Wiltord;France;FW;174;22;8;2000–2004;5;176;394;49;115;92;26
Robert Pires;France;LW;185;22;5;2000–2006;7;284;339;84;64;79;14
Lauren;Cameroon;RB;180;16;7;2000–2007;8;241;174;9;18;24;1
Sol Campbell;England;CB;188;20;5;2001–2006, 2010;7;211;358;12;12;73;1
Edu;Brazil;MF;185;13;3;2001–2005;5;127;84;15;1;15;0
Gilberto Silva;Brazil;MF;185;17;5;2002–2008;7;245;216;24;12;93;3
Kolo Touré;Ivory Coast;CB;178;16;4;2002–2009;8;326;110;14;2;117;7
Jens Lehmann;Germany;GK;190;24;5;2003–2008, 2011;7;200;473;0;2;61;0
Cesc F?bregas;Spain;MF;179;12;2;2003–2011;9;303;65;57;19;78;12
Gaël Clichy;France;LB;176;13;3;2003–2011;9;264;68;2;1;17;0
Philippe Senderos;Switzerland;CB;190;13;5;2003–2010;8;117;108;4;6;54;5
Manuel Almunia;Spain;GK;193;18;6;2004–2012;9;175;108;0;1;0;0
José Antonio Reyes;Spain;FW;176;16;5;2004–2007;4;110;263;23;35;21;4
Robin van Persie;Netherlands;FW;186;14;3;2004–2012;9;278;95;132;39;74;34
Mathieu Flamini;France;MF;178;12;3;2004–2008, 2013–;7;206;11;10;7;3;0
Johan Djourou;Switzerland;CB;192;11;2;2004–2013;10;144;17;1;0;51;1
Emmanuel Eboué;Ivory Coast;RB;178;14;4;2005–2011;7;214;171;10;11;79;3
Alexander Hleb;Belarus;MF;185;17;8;2005–2008;4;130;276;10;24;66;6
Nicklas Bendtner;Denmark;FW;193;10;1;2005–2014;10;171;0;47;0;55;22
Alexandre Song;Cameroon;MF;185;11;3;2005–2012;8;204;50;10;1;36;0
Emmanuel Adebayor;Togo;FW;191 ;14;5;2006–2009;4;142;210;62;66;63;29
William Gallas;France;CB;181;20;6;2006–2010;5;142;352;17;17;84;5
Theo Walcott;England;RW/FW;176;10;2;2006–;9;283;21;69;9;31;4
Abou Diaby;France;MF;192;11;2;2006–;9;180;10;19;1;16;1
Tomáš Rosický;Czech Republic;MF;179;17;3;2006–;9;229;167;25;27;90;20
Denílson;Brazil;MF;178;10;3;2006–2013;8;153;30;10;0;0;0
Bacary Sagna;France;RB;176;13;4;2007–2014;8;284;129;5;3;38;0
Kieran Gibbs;England;LB;178;8;1;2007–;8;163;0;5;0;3;0
Aaron Ramsey;Wales;MF;178;9;2;2008–;7;202;16;30;1;26;6
Samir Nasri;France;MF;175;11;3;2008–2011;4;125;169;27;17;35;4
Jack Wilshere;England;MF;170;7;1;2008–;7;148;0;11;0;7;0
Andrey Arshavin;Russia;MF;172;16;2;2009–2013;5;144;265;31;55;75;17
Thomas Vermaelen;Belgium;CB;183;12;2;2009–2014;6;150;99;15;8;47;1
Wojciech Szczesny;Poland;GK;196;6;1;2009–;6;170;0;0;0;13;0
Laurent Koscielny;France;CB;185;11;4;2010–;5;177;143;14;9;9;0
Alex Oxlade-Chamberlain;England;MF;180;5;2;2011–;4;101;36;11;9;20;4
Per Mertesacker;Germany;CB;198;12;4;2011–;4;141;237;6;20;88;2
Mikel Arteta;Spain;MF;179;19;6;2011–;4;136;248;16;45;0;0
Olivier Giroud;France;FW;192;10;4;2012–;3;104;157;42;65;35;9
Santi Cazorla;Spain;MF;168;12;6;2012–;3;116;293;20;45;69;11
